1, REMOVED, ";", 1
2, ADDED, ":", 1
4, REMOVED, "IN THREE VOLUMES", 3
5, ADDED, "BY MARY W", 3
7, REMOVED, "<br>VOL", 1
8, ADDED, " SHELLEY", 1
10, ADDED, "AUTHOR OF THE LAST MAN&comma; PERKIN WARBECK&comma; &c. &c.<br><br>REVISED&comma; CORRECTED&comma;<br>AND ILLUSTRATED WITH A NEW INTRODUCTION&comma;<br>BY THE AUTHOR.<br><br>LONDON:<br>HENRY COLBURN AND RICHARD BENTLEY&comma;<br>NEW BURLINGTON STREET:<br>BELL AND BRADFUTE&comma; EDINBURGH;<br>AND CUMMING&comma; DUBLIN.<br>1831.<br><br>INTRODUCTION.<br>The Publishers of the Standard Novels&comma; in selecting &quot;Frankenstein&quot; for one of their series&comma; expressed a wish that ", 79
12, ADDED, "should furnish them with some account of the origin of the story", 12
14, REMOVED, "<br><br>Did", 1
16, REMOVED, "request thee", 2
17, ADDED, "am the more willing to comply", 6
19, REMOVED, "Maker", 1
20, ADDED, "because I shall thus give a general answer to the question", 11
22, ADDED, "so very frequently asked me—&quot;How I&comma; when a young girl&comma; came to think of&comma; and to dilate upon&comma; so very hideous an idea?&quot; It is true that I am very averse to bringing myself forward in print; but as my account will only appear as an appendage to a former production&comma; and as it will be confined to such topics as have connection with my authorship alone&comma; I can scarcely accuse myself of a personal intrusion.<br><br>It is not singular that&comma; as the daughter of two persons of distinguished literary celebrity&comma; I should very early in life have thought of writing. As a child I scribbled; and my favourite pastime&comma; during the hours given me for recreation&comma; was to &quot;write stories.&quot; Still I had a dearer pleasure than this&comma; which was the formation of castles in the air—the indulging in waking dreams—the following up trains of thought&comma; which had for their subject the formation of a succession of imaginary incidents. My dreams were at once more fantastic and agreeable than my writings. In the latter I was a close imitator—rather doing as others had done&comma; than putting down the suggestions of my own mind. What I wrote was intended at least for one other eye—my childhood's companion and friend; but my dreams were all my own; I accounted for them to nobody; they were my refuge when annoyed—my dearest pleasure when free.<br><br>I lived principally in the country as a girl&comma; and passed a considerable time in Scotland. I made occasional visits to the more picturesque parts; but my habitual residence was on the blank and dreary northern shores of the Tay&comma; near Dundee. Blank and dreary on retrospection I call them; they were not so to me then. They were the eyry of freedom&comma; and the pleasant region where unheeded I could commune with the creatures of my fancy. I wrote then—but in a most common-place style. It was beneath the trees of the grounds belonging to our house&comma; or on the bleak sides of the woodless mountains near&comma; that my true compositions&comma; the airy flights of my imagination&comma; were born and fostered. I did not make myself the heroine of my tales. Life appeared to me too common-place an affair as regarded myself. I could not figure to myself that romantic woes or wonderful events would ever be my lot; but I was not confined to my own identity&comma; and I could people the hours with creations far more interesting to me at that age&comma; than my own sensations.<br><br>After this my life became busier&comma; and reality stood in place of fiction. My husband&comma; however&comma; was ", 513
24, ADDED, "the first&comma; very anxious that I should prove myself worthy of ", 12
26, REMOVED, "clay<br>To mould", 3
27, ADDED, "parentage&comma; and enrol myself on the page of fame. He was for ever inciting", 16
29, REMOVED, "man", 1
30, ADDED, "to obtain literary reputation&comma; which even on my own part I cared for then&comma; though since I have become infinitely indifferent to it. At this time he desired that I should write&comma; not so much with the idea that I could produce any thing worthy of notice&comma; but that he might himself judge how far I possessed the promise of better things hereafter. Still I did nothing. Travelling&comma; and the cares of a family&comma; occupied my time; and study&comma; in the way of reading&comma; or improving my ideas in communication with his far more cultivated mind&comma; was all of literary employment that engaged my attention.<br><br>In the summer of 1816&comma; we visited Switzerland&comma; and became the neighbours of Lord Byron. At first we spent our pleasant hours on the lake&comma; or wandering on its shores; and Lord Byron&comma; who was writing the third canto of Childe Harold&comma; was the only one among us who put his thoughts upon paper. These&comma; as he brought them successively to us&comma; clothed in all the light and harmony of poetry&comma; seemed to stamp as divine the glories of heaven and earth&comma; whose influences we partook with him.<br><br>But it proved a wet&comma; ungenial summer&comma; and incessant rain often confined us for days to the house. Some volumes of ghost stories&comma; translated from the German into French&comma; fell into our hands. There was the History of the Inconstant Lover&comma; who&comma; when he thought to clasp the bride to whom he had pledged his vows&comma; found himself in the arms of the pale ghost of her whom he had deserted. There was the tale of the sinful founder of his race&comma; whose miserable doom it was to bestow the kiss of death on all the younger sons of his fated house&comma; just when they reached the age of promise. His gigantic&comma; shadowy form&comma; clothed like the ghost in Hamlet&comma; in complete armour&comma; but with the beaver up&comma; was seen at midnight&comma; by the moon's fitful beams&comma; to advance slowly along the gloomy avenue. The shape was lost beneath the shadow of the castle walls; but soon a gate swung back&comma; a step was heard&comma; the door of the chamber opened&comma; and he advanced to the couch of the blooming youths&comma; cradled in healthy sleep. Eternal sorrow sat upon his face as he bent down and kissed the forehead of the boys&comma; who from that hour withered like flowers snapt upon the stalk. I have not seen these stories since then; but their incidents are as fresh in my mind as if I had read them yesterday.<br><br>&quot;We will each write a ghost story&comma;&quot; said Lord Byron; and his proposition was acceded to. There were four of us. The noble author began a tale&comma; a fragment of which he printed at the end of his poem of Mazeppa. Shelley&comma; more apt to embody ideas and sentiments in the radiance of brilliant imagery&comma; and in the music of the most melodious verse that adorns our language&comma; than to invent the machinery of a story&comma; commenced one founded on the experiences of his early life. Poor Polidori had some terrible idea about a skull-headed lady&comma; who was so punished for peeping through a key-hole—what to see I forget—something very shocking and wrong of course; but when she was reduced to a worse condition than the renowned Tom of Coventry&comma; he did not know what to do with her&comma; and was obliged to despatch her to the tomb of the Capulets&comma; the only place for which she was fitted. The illustrious poets also&comma; annoyed by the platitude of prose&comma; speedily relinquished their uncongenial task.<br><br>I busied myself to think of a story&comma;—a story to rival those which had excited us to this task. One which would speak to the mysterious fears of our nature&comma; and awaken thrilling horror—one to make the reader dread to look round&comma; to curdle the blood&comma; and quicken the beatings of the heart. If I did not accomplish these things&comma; my ghost story would be unworthy of its name. I thought and pondered—vainly. I felt that blank incapability of invention which is the greatest misery of authorship&comma; when dull Nothing replies to our anxious invocations. Have you thought of a story", 812
32, REMOVED, "Did ", 1
34, REMOVED, "solicit thee<br>From darkness", 4
35, ADDED, "was asked each morning&comma; and each morning I was forced", 11
37, REMOVED, "promote", 1
38, ADDED, "reply with a mortifying negative.<br><br>Every thing must have a beginning&comma; to speak in Sanchean phrase; and that beginning must be linked to something that went before. The Hindoos give the world an elephant to support it&comma; but they make the elephant stand upon a tortoise. Invention&comma; it must be humbly admitted&comma; does not consist in creating out of void&comma; but out of chaos; the materials must&comma; in the first place&comma; be afforded: it can give form to dark&comma; shapeless substances&comma; but cannot bring into being the substance itself. In all matters of discovery and invention&comma; even of those that appertain to the imagination&comma; we are continually reminded of the story of Columbus and his egg. Invention consists in the capacity of seizing on the capabilities of a subject&comma; and in the power of moulding and fashioning ideas suggested to it.<br><br>Many and long were the conversations between Lord Byron and Shelley&comma; to which I was a devout but nearly silent listener. During one of these&comma; various philosophical doctrines were discussed&comma; and among others the nature of the principle of life&comma; and whether there was any probability of its ever being discovered and communicated. They talked of the experiments of Dr. Darwin&comma; (I speak not of what the Doctor really did&comma; or said that he did&comma; but&comma; as more to my purpose&comma; of what was then spoken of as having been done by him&comma;) who preserved a piece of vermicelli in a glass case&comma; till by some extraordinary means it began to move with voluntary motion. Not thus&comma; after all&comma; would life be given. Perhaps a corpse would be re-animated; galvanism had given token of such things: perhaps the component parts of a creature might be manufactured&comma; brought together&comma; and endued with vital warmth.<br><br>Night waned upon this talk&comma; and even the witching hour had gone by&comma; before we retired to rest. When I placed my head on my pillow&comma; I did not sleep&comma; nor could I be said to think. My imagination&comma; unbidden&comma; possessed and guided", 393
40, REMOVED, "?", 1
41, ADDED, "&comma; gifting the successive images that arose in my mind with a vividness far beyond the usual bounds of reverie. I saw", 23
43, ADDED, "with shut eyes&comma; but acute mental vision&comma;", 9
45, REMOVED, "<br><br>Paradise Lost", 2
46, ADDED, "I saw the pale student of unhallowed arts kneeling beside the thing he had put together", 16
48, REMOVED, "<br><br>London:<br>PRINTED FOR<br>LACKINGTON", 5
49, ADDED, " I saw the hideous phantasm of a man stretched out", 10
51, REMOVED, "HUGHES", 1
52, ADDED, "and then", 2
54, REMOVED, "HARDING", 1
55, ADDED, "on the working of some powerful engine", 7
57, REMOVED, "MAVOR", 1
58, ADDED, "show signs of life", 4
60, REMOVED, "& JONES", 2
61, ADDED, "and stir with an uneasy", 5
63, REMOVED, "<br>FINSBURY SQUARE", 2
64, ADDED, " half vital motion", 3
66, REMOVED, "<br><br>1818", 1
67, ADDED, " Frightful must it be; for supremely frightful would be the effect of any human endeavour to mock the stupendous mechanism of the Creator of the world", 27
69, REMOVED, "<br><br>TO<br>WILLIAM GODWIN", 3
70, ADDED, " His success would terrify the artist; he would rush away from his odious handywork", 15
72, REMOVED, "<br>AUTHOR OF POLITICAL JUSTICE", 4
73, ADDED, " horror-stricken. He would hope that", 8
75, REMOVED, "CALEB WILLIAMS", 2
76, ADDED, "left to itself", 3
78, REMOVED, "&c", 2
79, ADDED, "the slight spark of life which he had communicated would fade; that this thing&comma; which had received such imperfect animation&comma; would subside into dead matter; and he might sleep in the belief that the silence of the grave would quench for ever the transient existence of the hideous corpse which he had looked upon as the cradle of life", 63
81, REMOVED, "<br>THESE VOLUMES<br>Are respectfully inscribed<br>BY<br>THE AUTHOR", 8
82, ADDED, " He sleeps; but he is awakened; he opens his eyes; behold the horrid thing stands at his bedside&comma; opening his curtains&comma; and looking on him with yellow&comma; watery&comma; but speculative eyes", 38
84, ADDED, "I opened mine in terror. The idea so possessed my mind&comma; that a thrill of fear ran through me&comma; and I wished to exchange the ghastly image of my fancy for the realities around. I see them still; the very room&comma; the dark parquet&comma; the closed shutters&comma; with the moonlight struggling through&comma; and the sense I had that the glassy lake and white high Alps were beyond. I could not so easily get rid of my hideous phantom; still it haunted me. I must try to think of something else. I recurred to my ghost story&comma;—my tiresome unlucky ghost story! O! if I could only contrive one which would frighten my reader as I myself had been frightened that night!<br><br>Swift as light and as cheering was the idea that broke in upon me. &quot;I have found it! What terrified me will terrify others; and I need only describe the spectre which had haunted my midnight pillow.&quot; On the morrow I announced that I had thought of a story. I began that day with the words&comma; It was on a dreary night of November&comma; making only a transcript of the grim terrors of my waking dream.<br><br>At first I thought but of a few pages—of a short tale; but Shelley urged me to develope the idea at greater length. I certainly did not owe the suggestion of one incident&comma; nor scarcely of one train of feeling&comma; to my husband&comma; and yet but for his incitement&comma; it would never have taken the form in which it was presented to the world. From this declaration I must except the preface. As far as I can recollect&comma; it was entirely written by him.<br><br>And now&comma; once again&comma; I bid my hideous progeny go forth and prosper. I have an affection for it&comma; for it was the offspring of happy days&comma; when death and grief were but words&comma; which found no true echo in my heart. Its several pages speak of many a walk&comma; many a drive&comma; and many a conversation&comma; when I was not alone; and my companion was one who&comma; in this world&comma; I shall never see more. But this is for myself; my readers have nothing to do with these associations.<br><br>I will add but one word as to the alterations I have made. They are principally those of style. I have changed no portion of the story&comma; nor introduced any new ideas or circumstances. I have mended the language where it was so bald as to interfere with the interest of the narrative; and these changes occur almost exclusively in the beginning of the first volume. Throughout they are entirely confined to such parts as are mere adjuncts to the story&comma; leaving the core and substance of it untouched.<br><br>M. W. S.<br><br>London&comma; October 15&comma; 1831.<br><br>", 537
86, ADDED, "&comma; ", 1
88, REMOVED, "Shakespeare", 1
89, ADDED, "Shakspeare", 1
91, ADDED, "&comma; ", 1
93, REMOVED, "&comma;", 1
95, REMOVED, "of ", 1
97, REMOVED, "exhibitions", 1
98, ADDED, "exhibition", 1
100, ADDED, "Marlow&comma; September&comma; 1817.<br><br>", 6
102, REMOVED, "phænomena", 1
103, ADDED, "phenomena", 1
105, REMOVED, "tranquillize", 1
106, ADDED, "tranquillise", 1
108, REMOVED, "sea-faring", 3
109, ADDED, "seafaring", 1
111, REMOVED, "Shakespeare", 1
112, ADDED, "Shakspeare", 1
114, REMOVED, ".", 1
115, ADDED, "?", 1
117, REMOVED, ";", 1
118, ADDED, "&comma;", 1
120, REMOVED, "their's", 3
121, ADDED, "theirs", 1
123, REMOVED, "wrapt", 1
124, ADDED, "wrapped", 1
126, ADDED, "—", 1
128, REMOVED, ":", 1
129, ADDED, ";", 1
131, REMOVED, "&comma;", 1
133, REMOVED, ";", 1
134, ADDED, "!", 1
136, ADDED, "&comma; ", 1
138, REMOVED, "sympathize", 1
139, ADDED, "sympathise", 1
141, REMOVED, "school-boys", 3
142, ADDED, "schoolboys", 1
144, ADDED, ": or rather&comma; to word my phrase more characteristically&comma; of advancement in his profession", 16
146, REMOVED, "&comma;", 1
148, REMOVED, "He is", 2
149, ADDED, "This circumstance", 2
151, REMOVED, "indeed", 1
152, ADDED, "added to his well known integrity and dauntless courage", 9
154, REMOVED, "of", 1
155, ADDED, "made me very desirous to engage him. A youth passed in solitude&comma; my best years spent under your gentle and feminine fosterage&comma; has", 26
157, REMOVED, "amiable a nature", 3
158, ADDED, "refined the groundwork of my character", 6
160, REMOVED, "he will not hunt (", 5
161, ADDED, "I cannot overcome an intense distaste to the usual brutality exercised on board ship: I have never believed it to be necessary; and when I heard of ", 29
163, REMOVED, "favourite", 1
164, ADDED, "mariner equally noted for his kindliness of heart", 8
166, REMOVED, "almost ", 1
168, REMOVED, "only amusement here)", 4
169, ADDED, "respect and obedience paid to him by his crew", 9
171, REMOVED, "because he cannot endure", 4
172, ADDED, "I felt myself peculiarly fortunate in being able", 8
174, REMOVED, "spill blood", 2
175, ADDED, "secure his services", 3
177, REMOVED, "He is", 2
178, ADDED, "I heard of him first in rather a romantic manner", 10
180, REMOVED, "moreover", 1
181, ADDED, "from a lady who owes to him the happiness of her life. This", 14
183, REMOVED, "heroically generous", 2
184, ADDED, "briefly&comma; is his story", 5
186, ADDED, "&comma; ", 1
188, ADDED, "&comma; ", 1
190, REMOVED, "has passed all his life on board", 7
191, ADDED, "is wholly uneducated: he is as silent as", 9
193, REMOVED, "vessel", 1
194, ADDED, "Turk", 1
196, REMOVED, "has scarcely an idea beyond", 5
197, ADDED, "a kind of ignorant carelessness attends him&comma; which&comma; while it renders his conduct", 15
199, REMOVED, "rope and", 2
200, ADDED, "more astonishing&comma; detracts from", 5
202, REMOVED, "shroud", 1
203, ADDED, "interest and sympathy which otherwise he would command", 8
205, REMOVED, "But", 1
206, ADDED, "Yet", 1
208, REMOVED, " that", 1
210, REMOVED, "&comma;", 1
212, REMOVED, "&comma;", 1
214, REMOVED, ";", 1
215, ADDED, ":", 1
217, ADDED, "&comma; ", 1
219, REMOVED, ";", 1
221, ADDED, "; ", 1
223, ADDED, "&comma; or if I should come back to you as worn and woful as the &quot;Ancient Mariner&quot;? You will smile at my allusion; but I will disclose a secret", 33
225, ADDED, "I have often attributed my attachment to&comma; my passionate enthusiasm for&comma; the dangerous mysteries of ocean&comma; to that production of the most imaginative of modern poets. There is something at work in my soul&comma; which I do not understand. I am practically industrious—pains-taking;—a workman to execute with perseverance and labour:—but besides this&comma; there is a love for the marvellous&comma; a belief in the marvellous&comma; intertwined in all my projects&comma; which hurries me out of the common pathways of men&comma; even to the wild sea and unvisited regions I am about to explore.<br><br>But to return to dearer considerations. ", 121
227, ADDED, "for the present ", 3
229, REMOVED, "(though the chance is very doubtful) ", 8
231, ADDED, "My dear Sister&comma; ", 4
233, REMOVED, "My Dear Sister&comma;<br><br>", 4
235, REMOVED, "merchant-man", 3
236, ADDED, "merchantman", 1
238, REMOVED, "&comma;", 1
240, REMOVED, "breaking", 1
241, ADDED, "springing", 1
243, REMOVED, "mast", 1
244, ADDED, "leak", 1
246, REMOVED, "&comma;", 1
248, REMOVED, "your's", 3
249, ADDED, "yours", 1
251, REMOVED, "Remember me to all", 4
252, ADDED, "But success shall crown", 4
254, REMOVED, "English friends", 2
255, ADDED, "endeavours", 1
257, REMOVED, "<br><br>Most affectionately yours", 3
258, ADDED, " Wherefore not? Thus far I have gone", 8
260, ADDED, "tracing a secure way over the pathless seas: the very stars themselves being witnesses and testimonies of my triumph. Why not still proceed over the untamed yet obedient element? What can stop the determined heart and resolved will of man?<br><br>My swelling heart involuntarily pours itself out thus. But I must finish. Heaven bless my beloved sister!<br><br>", 64
262, ADDED, "-", 1
264, REMOVED, "shewed", 1
265, ADDED, "showed", 1
267, REMOVED, "&comma;", 1
269, REMOVED, "-", 1
271, REMOVED, "&comma;", 1
273, ADDED, "—", 1
275, REMOVED, "inquiries", 1
276, ADDED, "enquiries", 1
278, REMOVED, "inquired&comma;", 2
279, ADDED, "enquired", 1
281, ADDED, "a new spirit of life animated ", 6
283, ADDED, "decaying frame of the ", 4
285, REMOVED, " seemed very eager", 3
286, ADDED, ". He manifested the greatest eagerness", 6
288, REMOVED, "But ", 1
290, ADDED, "&comma; ", 1
292, REMOVED, "employments", 1
293, ADDED, "projects", 1
295, REMOVED, "asked", 1
